iter	RMSE
194	4.874039217
195	4.870263707
196	4.865009095
197	4.862686415
198	4.858981257
199	4.854019102
200	4.847058929
201	4.842717899
202	4.838930375
203	4.833363919
204	4.827303869
205	4.824195394
206	4.82320855
207	4.817406526
208	4.814473273
209	4.810663295
210	4.806192252
211	4.800130147
212	4.795036414
213	4.790768761
214	4.787959932
215	4.783798367
216	4.782477176
217	4.778660811
218	4.77679854
219	4.772038682
220	4.767775479
221	4.760420226
222	4.759109046
223	4.755254379
224	4.753804965
225	4.748259437
226	4.743818875
227	4.742002462
228	4.739223945
229	4.734975632
230	4.729106265
231	4.725707253
232	4.72255161
233	4.717991819
234	4.71226763
235	4.707504737
236	4.701464665
237	4.700240838
238	4.694593112
239	4.69333394
240	4.686285484
241	4.683068388
242	4.677642952
243	4.672267495
244	4.668918549
245	4.665128673
246	4.662417827
247	4.660090068
248	4.659276846
249	4.655995545
250	4.653056237
251	4.646425556
252	4.639135564
253	4.634534397
254	4.626960792
255	4.622743168
256	4.619954473
257	4.61255064
258	4.610453126
259	4.608052893
260	4.607376636
261	4.602773635
262	4.6006679
263	4.599001951
264	4.598037
265	4.594739263
266	4.591886257
267	4.586611211
268	4.584925675
269	4.581168305
270	4.576463198
271	4.573003534
272	4.568548431
273	4.564095447
274	4.561006977
275	4.556382126
276	4.549403627
277	4.544858058
278	4.540344912
279	4.535742286
280	4.534598896
281	4.531385937
282	4.527754623
283	4.527113533
284	4.524850454
285	4.523813494
286	4.521887775
287	4.518421235
288	4.515118794
289	4.51330552
290	4.510924891
291	4.506631308
292	4.503973609
293	4.499085903
294	4.495618065
295	4.494415557
296	4.488725845
297	4.48468418
298	4.483355828
299	4.479512601
300	4.4738656
301	4.470113716
302	4.466318709
303	4.46521786
304	4.46398573
305	4.458194179
306	4.45579264
307	4.450292378
308	4.447095722
309	4.445337639
310	4.443677849
311	4.442074293
312	4.436695914
313	4.436111292
314	4.430628201
315	4.427691875
316	4.422668497
317	4.418846133
318	4.413745039
319	4.408386897
320	4.404456696
321	4.401276605
322	4.396450966
323	4.393725622
324	4.389806033
325	4.384677278
326	4.383673525
327	4.38033727
328	4.372348023
329	4.367799001
330	4.366102145
331	4.363001635
332	4.359499775
333	4.357665536
334	4.351494728
335	4.345971419
336	4.344225456
337	4.340792789
338	4.336645858
339	4.333151346
340	4.33039427
341	4.324142932
342	4.323531259
343	4.319895109
344	4.319486585
345	4.318545458
346	4.312714312
347	4.307830785
348	4.305559429
349	4.302051053
350	4.299426305
351	4.29797237
352	4.29514287
353	4.293771751
354	4.292092578
355	4.29079912
356	4.285601042
357	4.28271168
358	4.277185069
359	4.271462342
360	4.268551727
361	4.265392043
362	4.261543003
363	4.259985319
364	4.258700012
365	4.253688806
366	4.250450412
367	4.247151349
368	4.240786302
369	4.23737735
370	4.23248002
371	4.227926002
372	4.226246078
373	4.225205951
374	4.222902697
375	4.222528751
376	4.221656095
377	4.217543782
378	4.214411576
379	4.21009981
380	4.209100224
381	4.204881923
382	4.20250902
383	4.201312801
384	4.197820598
385	4.192859404
386	4.191944589
387	4.187753476
388	4.187290449
389	4.184261701
390	4.178474779
391	4.175225752
392	4.174789633
393	4.170512824
394	4.165838844
395	4.163156697
396	4.160220548
397	4.158310091
398	4.155137463
399	4.153243089
400	4.147743205
401	4.146775914
402	4.142161553
403	4.136213457
404	4.13353304
405	4.131970866
406	4.128591963
407	4.12651059
408	4.126073103
409	4.125499704
410	4.124651359
411	4.120208838
412	4.116456326
413	4.113009283
414	4.109894382
415	4.108029353
416	4.104453756
417	4.101688195
418	4.100376106
419	4.09607877
420	4.091507132
421	4.08730817
422	4.08346998
423	4.07903437
424	4.073753453
425	4.068613384
426	4.064606957
427	4.063244233
428	4.059177104
429	4.055087707
430	4.049987192
431	4.047749237
432	4.042432698
433	4.042204298
434	4.035809139
435	4.031895197
436	4.026592497
437	4.0264542
438	4.023748873
439	4.020767899
440	4.016220398
441	4.011975948
442	4.009506058
443	4.007826619
444	4.002736701
445	3.998023635
446	3.994059261
447	3.992001245
448	3.989347975
449	3.984305045
450	3.981054604
451	3.977037153
452	3.975879039
453	3.972304905
454	3.970813607
455	3.967951051
456	3.966118279
457	3.961759619
458	3.958315733
459	3.955386591
460	3.953908337
461	3.952285228
462	3.949660403
463	3.94629913
464	3.945425003
465	3.941179564
466	3.939194909
467	3.938080497
468	3.936720586
469	3.932822571
470	3.929997909
471	3.926156682
472	3.925416522
473	3.923467203
474	3.921362745
475	3.918596967
476	3.916000454
477	3.91418996
478	3.909088193
479	3.905317506
480	3.902224353
481	3.899271866
482	3.896426265
483	3.89367944
484	3.890084291
485	3.887093941
486	3.88293277
487	3.879581871
488	3.876501565
489	3.871715149
490	3.868940983
491	3.866839127
492	3.866446598
493	3.862207388
494	3.859999289
495	3.855813218
496	3.854668068
497	3.8508888
498	3.848106664
499	3.843732898
500	3.841684396
501	3.838058882
502	3.836165932
503	3.831534656
504	3.828528849
505	3.825605734
506	3.823833163
507	3.823567956
508	3.820182943
509	3.81530601
510	3.813097928
511	3.811501898
512	3.810239999
513	3.806892235
514	3.802292483
515	3.79879075
516	3.797092906
517	3.795374678
518	3.791678507
519	3.789826785
520	3.786511777
521	3.7863349
522	3.784580456
523	3.782053026
524	3.780106548
525	3.776596396
526	3.773988606
527	3.770254445
528	3.769436291
529	3.766697737
530	3.764861634
531	3.761835136
532	3.758532262
533	3.757120634
534	3.75322257
535	3.751252412
536	3.749777455
537	3.747103688
538	3.746359341
539	3.744554568
540	3.740866968
541	3.73902247
542	3.737805211
543	3.734179359
544	3.731016944
545	3.730139767
546	3.729048209
547	3.726367675
548	3.722356555
549	3.720568259
550	3.716716962
551	3.714410655
552	3.711478322
553	3.709966454
554	3.707633154
555	3.706369079
556	3.703235302
557	3.702511742
558	3.700740886
559	3.700068605
560	3.696512908
561	3.694962572
562	3.693267145
563	3.689371187
564	3.68749222
565	3.683309707
566	3.681864163
567	3.679550317
568	3.677420625
569	3.675924112
570	3.669487213
571	3.667729741
572	3.664746215
573	3.661796307
574	3.661609646
575	3.65921239
576	3.656934378
577	3.654395611
578	3.648938095
579	3.646882834
580	3.64654038
581	3.64559472
582	3.644282115
583	3.641544618
584	3.638992542
585	3.636296941
586	3.635602061
587	3.631851352
588	3.629336879
589	3.626165499
590	3.623180639
591	3.619526227
592	3.617102445
593	3.613589067
594	3.609604362
595	3.608723416
596	3.607374058
597	3.604138571
598	3.601393432
599	3.599356548
600	3.598316177
601	3.59399756
602	3.591507649
603	3.587008574
604	3.583900247
605	3.58288545
606	3.579992319
607	3.578718114
608	3.576441664
609	3.574084653
610	3.571384528
611	3.567718423
612	3.564858084
613	3.564714958
614	3.563597741
615	3.560751465
616	3.558827024
617	3.554697332
618	3.552022256
619	3.550732581
620	3.547549787
621	3.544811076
622	3.544111948
623	3.540436368
624	3.536541958
625	3.535721329
626	3.53511008
627	3.533857503
628	3.531476947
629	3.529183055
630	3.526230088
631	3.523579386
632	3.521417509
633	3.518207137
634	3.517149078
635	3.513048558
636	3.509980826
637	3.509162429
638	3.504220232
639	3.503500201
640	3.501541983
641	3.499293794
642	3.495866094
643	3.493901854
644	3.491362262
645	3.490738135
646	3.490233369
647	3.487994387
648	3.485675861
649	3.483804511
650	3.480305579
651	3.479538223
652	3.477540211
653	3.473753823
654	3.468790202
655	3.466350457
656	3.464247035
657	3.46358026
658	3.462735859
659	3.461899496
660	3.460186642
661	3.459046457
662	3.457855422
663	3.456412586
664	3.454169026
665	3.451459366
666	3.451049296
667	3.450517594
668	3.448880189
669	3.444562626
670	3.441285875
671	3.440112608
672	3.438899115
673	3.436734904
674	3.435848721
675	3.434357156
676	3.430298571
677	3.428041526
678	3.424964394
679	3.422170398
680	3.421962195
681	3.421272464
682	3.418385439
683	3.417501668
684	3.415763228
685	3.413251653
686	3.412086723
687	3.411157453
688	3.410956407
689	3.408422644
690	3.405282036
691	3.403760657
692	3.4027054
693	3.402207583
694	3.39938908
695	3.397425158
696	3.396250303
697	3.393788266
698	3.391940287
699	3.390697852
700	3.388871664
701	3.387295609
702	3.383342027
703	3.382186698
704	3.37848788
705	3.375303536
706	3.370210819
707	3.369506527
708	3.368547036
709	3.364835817
710	3.364359451
711	3.364125007
712	3.36256636
713	3.361533887
714	3.358808985
715	3.356292773
716	3.352408787
717	3.351734581
718	3.351534014
719	3.348985166
720	3.348168992
721	3.347944297
722	3.346846396
723	3.344688911
724	3.340343106
725	3.338368459
726	3.336829332
727	3.334782245
728	3.330673713
729	3.328051603
730	3.326817984
731	3.324603685
732	3.323537282
733	3.320987268
734	3.319283829
735	3.318761289
736	3.317091373
737	3.316255389
738	3.313545472
739	3.311781838
740	3.311532668
741	3.310004177
742	3.308239128
743	3.30449256
744	3.30126004
745	3.300041488
746	3.298708876
747	3.297742092
748	3.297239559
749	3.296460286
750	3.292571741
751	3.289814845
752	3.286521306
753	3.285614493
754	3.285002383
755	3.283926669
756	3.282039573
757	3.280952014
758	3.27852407
759	3.277196815
760	3.276592764
761	3.274984439
762	3.274857343
763	3.27331054
764	3.272622654
765	3.270430167
766	3.26953007
767	3.267865594
768	3.266817043
769	3.26627051
770	3.263670587
771	3.261890543
772	3.261216794
773	3.260726447
774	3.258006519
775	3.256993899
776	3.256839382
777	3.254596817
778	3.254108017
779	3.252290847
780	3.249265941
781	3.248868152
782	3.247652847
783	3.245811836
784	3.244234833
785	3.242298794
786	3.239222906
787	3.235050158
788	3.232651829
789	3.232187576
790	3.229398961
791	3.2266151
792	3.225134623
793	3.223678164
794	3.223501334
795	3.222960515
796	3.221944996
797	3.221163193
798	3.22017885
799	3.219120526
800	3.21756432
801	3.217040865
802	3.214120908
803	3.209802017
804	3.208871199
805	3.206740941
806	3.206368623
807	3.205212687
808	3.20346217
809	3.202229545
810	3.201693422
811	3.199523033
812	3.19881687
813	3.196419331
814	3.19513504
815	3.191442664
816	3.188608169
817	3.186901172
818	3.186061578
819	3.182725284
820	3.180766205
821	3.178475058
822	3.177896642
823	3.175674612
824	3.173355053
825	3.171303349
826	3.169746406
827	3.168901825
828	3.165545278
829	3.16465097
830	3.163556247
831	3.163051753
832	3.162534496
833	3.161468103
834	3.158761985
835	3.158378171
836	3.156201091
837	3.153999883
838	3.151701838
839	3.151311615
840	3.14872096
841	3.148467551
842	3.146259411
843	3.146071761
844	3.143791129
845	3.143311286
846	3.141915373
847	3.139602038
848	3.138014667
849	3.136278401
850	3.134239635
851	3.133461913
852	3.129378093
853	3.125961944
854	3.12456893
855	3.123239596
856	3.122761714
857	3.12073436
858	3.119913977
859	3.11728163
860	3.114403319
861	3.114117138
862	3.113806309
863	3.110990158
864	3.109406089
865	3.108101844
866	3.107895703
867	3.106828714
868	3.104080068
869	3.101289428
870	3.10040745
871	3.097297905
872	3.09431982
873	3.092485526
874	3.090430608
875	3.088897905
876	3.087875007
877	3.086698018
878	3.086451834
879	3.085015628
880	3.083877529
881	3.083127329
882	3.080573877
883	3.08038448
884	3.080043864
885	3.079805124
886	3.078942384
887	3.077882297
888	3.077536458
889	3.076927341
890	3.075364655
891	3.073704592
892	3.071285346
893	3.070110383
894	3.069184282
895	3.06847293
896	3.068070617
897	3.067791643
898	3.066206674
899	3.06405588
900	3.063237997
901	3.062129199
902	3.059218071
903	3.058736993
904	3.057711411
905	3.056626504
906	3.053843814
907	3.0496687
908	3.045924031
909	3.04472038
910	3.043303378
911	3.040194959
912	3.039656304
913	3.038774966
914	3.036753568
915	3.036522607
916	3.035533789
917	3.035024516
918	3.031824448
919	3.030886269
920	3.028304849
921	3.026305139
922	3.024275798
923	3.021998563
924	3.020771294
925	3.017239045
926	3.016250395
927	3.01518305
928	3.014454693
929	3.013469334
930	3.01235744
931	3.011317642
932	3.009974301
933	3.007312388
934	3.006725566
935	3.00430769
936	3.001991682
937	3.001123565
938	3.000300698
939	2.998225654
940	2.994913085
941	2.993623488
942	2.992412334
943	2.991126065
944	2.990222343
945	2.988979558
946	2.987561567
947	2.986628235
948	2.984583049
949	2.983795208
950	2.982693651
951	2.97977518
952	2.979035043
953	2.974791448
954	2.971976816
955	2.971636932
956	2.969993658
957	2.969792187
958	2.967898582
959	2.967063604
960	2.965288765
961	2.964766783
962	2.961962156
963	2.96048238
964	2.958711372
965	2.958077634
966	2.957883139
967	2.955678577
968	2.953899628
969	2.952117526
970	2.951975553
971	2.950856388
972	2.947183288
973	2.946664889
974	2.945900176
975	2.94548314
976	2.944121138
977	2.942730576
978	2.940120262
979	2.939115564
980	2.938444311
981	2.935585558
982	2.933111731
983	2.928991777
984	2.928016786
985	2.927217593
986	2.92529611
987	2.9234301
988	2.922544138
989	2.919981952
990	2.919636389
991	2.918125754
992	2.915672595
993	2.91520009
994	2.914662667
995	2.913592268
996	2.91335063
997	2.90983015
998	2.906262916
999	2.905634348
